Setting,Normal,Myocardial Infarction (MI),Aortic Dissection
age range,[0 - 100],[45-100],[40-90]
gender,Male;Female,,
hello,Hello;Hello doctor;Hello Dr. <name>,,
cc,Unknown,Chest pain,Chest pain
hpi,Unknown,I started having chest pain today when I was watching TV this morning after getting my cup of coffee. I was standing in the kitchen just pouring the coffee into my cup when it happened. After the pain started I tried to take nitroglycerin tablets as I was told and I waited between them but they didn't help to stop the pain. That is when my I called for the ambulance which brought me here.,I started having chest pain this afternoon while playing golf. It hurts a lot and is different than anything I've had before so I had my partner drive me to the hospital.
pain,None;No;I don't have any pain,Yes,Yes
onset,N/A,45 minutes ago;20 minutes ago;1 hour ago,30 minutes ago;45 minutes ago;10 minutes ago;1 hour ago
position,N/A,"Middle of my chest, maybe a little more on the left side",Middle of my chest;All over the chest;Anterior chest;Between my shoulder blades
quality,N/A,"Crushing, pressure like;Pressure;Like something is pressing hard on my chest",Tearing;Ripping;knifelike sensation
radiation,N/A,Radiates to my left arm and neck,Radiates to my back;Radiates to between my shoulder blades;No radiation
severity,N/A,8/10/2014,10/10;8/10;5/10
timing,N/A,Constant,Constant
alleviating,N/A,Nothing,Nothing
aggravating,N/A,Moving makes it worse,Nothing
duration,N/A,Since it started,Since it started
associated,N/A,I feel a little nausea as well;None,None;Nausea;I feel a little nause as well
pmhx,None;I haven't had any medical problems;Just the occasional cold,"CAD, Hypertension, NIDDM",Hypertension;CAD and hypertension;Marfan's syndrome
hospitalizations,None;I have never had to stay at the hospital;I've never even been to the hospital before,,
surgeries,None;I have never had a surgery,,
allergies,None;I have no allergies;I get a stuffy nose to cat and dog hair,,
fmhx,None;No significant medical history in my family,"Heart disease in my father, my mother also had diabetes.",My father had Marfan's syndrome;Heart disease in my father and mother;Heart disease in my father
shx,I live at home and I feel safe.,,
tobacco,No,Smoke 2 packs of cigarettes per week.,
alcohol,None;Social occassions only without binging.,,
drugs,None;Occassional marijuana use,,
sex,No,Yes,Yes
weight loss,None,,
night sweats,No,,
fatigue,No,,
malaise,No,,
lethargy,No,,
sleeping,No problems,I snore loudly when I sleep and am usually tired in the morning.,
appetite,Normal,,
fever,No,,
itch,No,,
rash,No,,
trauma,No,,
masses,None,,
falls,None,,
visual changes,None,,
headache,None,,
double vision,No,,
scotoma,No,,
floaters,No,,
runny nose,No,,
epistaxis,No,,
tinnitus,No,,
gingival bleeding,No,,
toothache,No,,
sore throat,No,,
odynophagia,No,,
chest pain,No,Yes,Yes
sob,No,Yes,Yes
doe,No,Yes,
pnd,No,Yes,
orthopnea,No,"Yes, I use 3 pillows to prop myself up at night otherwise I cannot sleep.",
edema,No,Some in my feet.,
palpitations,No,,
faintness,No,,
loc,No,,
claudication,No,,
cough,No,,
sputum,No,,
wheezing,No,,
hemoptysis,No,,
dysphagia,No,,
indigestion,No,,
bloating,No,,
cramping,No,,
anorexia,No,,
nausea,No,"Yes, some mild nausea right now. Not usually",
vomiting,No,,
diarrhea,No,,
constipation,No,,
obstipation,No,,
hematochezia,No,,
melena,No,,
tenesmus,No,,
incontinence,No,,
dysuria,No,,
hematuria,No,,
nocturia,No,,
polyuria,No,,
hesitancy,No,,
dribbling,No,,
penile discharge,No,,
vaginal discharge,No,,
menses frequency,No,,
menses regularity,No,,
menses quality,No,,
menses clots,No,,
menses duration,No,,
dysmenorrhea,No,,
lmp,No,,
gpa,No,,
menarche,No,,
menopause,No,,
contraception,No,,
stiffness,No,,
joint swelling,No,,
rom,Normal,,
crepitus,No,,
arthritis,No,,
pruritus,No,,
stria,No,,
nodules,No,,
tumors,No,,
eczema,No,,
breast discharge,No,,
sight,No,,
smell,No,,
hearing,No,,
taste,No,,
seizures,No,,
faints,No,,
headache,No,,
parasthesia,No,,
numbness,No,,
weakness,No,,
balance,No,,
speech,No,,
depression,No,,
anxiety,No,,
concentration,No,,
paranoia,No,,
anhedonia,No,,
lack of energy,No,,
mania,No,,
personality,No,,
financial binges,No,,
hallucinations,No,,
judgement,No,,
affect,No,,
si,No,,
temperature intolerance,No,,
mood swings,No,,
diaphoresis,No,,
thin hair,No,,
dry skin,No,,
polydipsia,No,,
polyuria,No,,
polyphagia,No,,
skin color,No,,
erection,No problems.,,
sexual arousal,No problems.,,
purpura,No,,
petechia,No,,
general,"Patient appears calm, collected with appropriate demeaner.",,
alert,Yes,,
orientation,Yes,,
gcs,15,,
head examine,"Normocephalic, atraumatic",,
pupils,"equal, round, reactive to light and accommodation",,
eom,intact,,
fundi,normal,,
vision,"20/20, normal",,
external canal,"normal, nonerythematous",,
tympanic membrane,"well visualized, TM is not bulging, no perforations or scar tissue, no discharge",,
hearing,intact,,
nasal discharge,None,,
